GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/305111360/,Москва и Московская область,sale,flat,4,16,2,37.0,-1,0,19000000.0,Пресненский,Красногвардейский бульвар,5К2,Москва-Сити,
Интеллект,developer,https://krym.cian.ru/sale/flat/291497607/,Москва и Московская область,sale,flat,2,20,2,49.18,-1,0,12718487.0,,,,,Крымская Резиденция
ID 85604823,unknown,https://www.cian.ru/sale/flat/308497818/,Москва и Московская область,sale,flat,16,41,2,51.0,-1,0,34000000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
ID 74991203,homeowner,https://www.cian.ru/sale/flat/308079051/,Москва и Московская область,sale,flat,3,24,2,53.2,-1,0,19570000.0,Донской,Новоданиловская набережная,8к2,Верхние котлы,Новоданиловская 8
Сармат,developer,https://krasnodar.cian.ru/sale/flat/307540724/,Москва и Московская область,sale,flat,2,16,1,37.9,-1,0,5306000.0,Прикубанский, Западный обход,65/1,,Cармат
ID 85604823,unknown,https://www.cian.ru/sale/flat/305768574/,Москва и Московская область,sale,flat,6,42,1,42.0,-1,0,29000000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
ID 104795526,real_estate_agent,https://spb.cian.ru/sale/flat/304536515/,Москва и Московская область,sale,flat,4,4,1,42.7,-1,0,5590000.0,Красносельский,Стрельнинское шоссе,3а,Проспект Ветеранов,
Перспектива,developer,https://krym.cian.ru/sale/flat/305496512/,Москва и Московская область,sale,flat,3,8,2,76.9,-1,0,23000000.0,Восход пгт, Наташинская,2Ж,,Монако
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/272003903/,Москва и Московская область,sale,flat,5,6,2,43.0,-1,0,26900000.0,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
ZIP Realty,real_estate_agent,https://www.cian.ru/sale/flat/308690483/,Москва и Московская область,sale,flat,10,14,2,56.7,-1,0,22232323.0,Фили-Давыдково, Олеко Дундича,31к1,Филёвский парк,
Эталон,developer,https://ekb.cian.ru/sale/flat/308412109/,Москва и Московская область,sale,flat,3,5,2,40.69,-1,0,5821699.0,,,,,Балтым-Парк
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/301258691/,Москва и Московская область,sale,flat,2,21,2,57.23,-1,0,59000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
ID 95814020,realtor,https://www.cian.ru/sale/flat/308490853/,Москва и Московская область,sale,flat,12,17,2,71.0,-1,0,17900000.0,, Никитина,11к4,Рассказовка,
РКС Девелопмент,developer,https://krasnodar.cian.ru/sale/flat/308979074/,Москва и Московская область,sale,flat,2,7,2,56.5,-1,0,13627800.0,,,,,Anapolis Residence
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/307822693/,Москва и Московская область,sale,flat,9,18,2,66.4,-1,0,69700000.0,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК
Никита Гаврилов,realtor,https://www.cian.ru/sale/flat/308711044/,Москва и Московская область,sale,flat,8,22,1,40.0,-1,0,13290000.0,Марьино, Верхние Поля,36К2,Люблино,
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/306297919/,Москва и Московская область,sale,flat,2,18,2,49.5,-1,0,7730000.0,Верх-Исетский,,,Площадь 1905 года,Русь XXI ЖК
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/298050405/,Москва и Московская область,sale,flat,7,9,2,108.3,-1,0,154000000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
Этажи Москва,real_estate_agent,https://lyubertsy.cian.ru/sale/flat/308675651/,Москва и Московская область,sale,flat,1,3,1,33.6,-1,0,4800000.0,,,,,
Интеллект,developer,https://krym.cian.ru/sale/flat/306356337/,Москва и Московская область,sale,flat,7,20,1,24.84,-1,0,8609974.0,,,,,Крымская Резиденция
hoomie,real_estate_agent,https://www.cian.ru/sale/flat/305679729/,Москва и Московская область,sale,flat,9,20,2,59.0,-1,0,25370000.0,Даниловский,,,Тульская,Форст ЖК
Святослав Пивненко,realtor,https://spb.cian.ru/sale/flat/307823563/,Москва и Московская область,sale,flat,4,17,2,74.0,-1,0,17300000.0,Приморский,аллея Поликарпова,6к1,Пионерская,
СК10,developer,https://rostov.cian.ru/sale/flat/289997272/,Москва и Московская область,sale,flat,19,25,2,38.54,-1,0,5140000.0,Советский,,,,Малина парк
Карина Хасьянова,realtor,https://www.cian.ru/sale/flat/308892178/,Москва и Московская область,sale,flat,6,9,2,75.0,-1,0,64900000.0,Пресненский,Малый Патриарший переулок,5С1,Маяковская,
Никита Гаврилов,realtor,https://www.cian.ru/sale/flat/308929771/,Москва и Московская область,sale,flat,5,17,2,60.0,-1,0,18550000.0,Марьино,Новочеркасский бульвар,47,Марьино,
Перспектива,developer,https://krym.cian.ru/sale/flat/305496510/,Москва и Московская область,sale,flat,2,8,1,70.3,-1,0,16000000.0,Восход пгт, Наташинская,2Ж,,Монако
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/299890518/,Москва и Московская область,sale,flat,9,40,1,41.5,-1,0,32000000.0,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
Ю-Питер,real_estate_agent,https://www.cian.ru/sale/flat/308901152/,Москва и Московская область,sale,flat,14,16,2,50.5,-1,0,14000000.0,Отрадное, Бестужевых,13,Отрадное,
